menu_dish_id,menu_id,dish_id
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,2,11
12,2,12
13,2,13
14,2,14
15,2,15
16,2,16
17,2,17
18,3,18
19,3,19
20,3,20
21,3,21
22,3,22
23,3,23
24,3,24
25,3,25
26,3,26
27,3,27
28,4,28
29,4,29
30,4,30
31,4,31
32,4,32
33,4,33
34,4,34
35,4,35
36,4,36
37,4,37
38,5,38
39,5,39
40,5,40
41,5,41
42,5,42
43,5,43
44,5,44
45,5,45
46,5,46
47,5,47
48,6,48
49,6,49
50,6,50
51,6,51
52,6,52
53,6,53
54,6,54
55,6,55
56,6,56
57,6,57
58,7,58
59,7,59
60,7,60
61,7,61
62,7,62
63,7,63
64,7,64
65,7,65
66,7,66
67,7,67
68,7,68
69,7,69
70,8,70
71,8,71
72,8,72
73,8,73
74,8,74
75,8,75
76,8,76
77,8,77
78,8,78
79,8,79
80,9,80
81,9,81
82,9,82
83,9,83
84,9,84
85,9,85
86,9,86
87,9,87
88,9,88
89,9,89
90,10,90
91,10,91
92,10,92
93,10,93
94,10,94
95,10,95
96,10,96
97,10,97
98,10,98
99,10,99
